,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.184,0.175,0.226,0.107,0.14,0.07,0.093,0.072,0,0.0009,0.0009,0.0593,0,0,0,0,0,0,0,0,0,0,0,0
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,0.184,0.175,0.226,0.107,0.14,0.07,0.093,0.072,0,0.0009,0.0009,0.0593,0,0,0,0,0,0,0,0,0,0,0,0
        Renewables,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.201,7.5675,4.1328,4.7259,6.96,4.725,5.896,7.784,4.526,8.553,5.206,5.3133,8.937,6.974,9.006
            Hydroelectricity,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.201,7.567,4.132,4.725,6.959,4.724,5.895,7.782,4.525,8.552,5.184,5.281,8.896,6.813,8.709
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0.0005,0.0008,0.0009,0.001,0.001,0.001,0.002,0.001,0.001,0.022,0.0323,0.041,0.161,0.297
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Consumption,3.737,3.536,4.548,4.049,4.06,5.132,3.166,3.585,4.9942,5.4295,4.5171,6.5908,6.8366,7.3295,6.6729,6.045,7.5831,6.1646,6.4838,6.5302,6.6567,7.032,6.936,7.489578147
    Imports,1.3,1.8,2.2,1.242,0.477,0.371,0.611,2.838,2.434,1.965,1.005,3.475,3.23,2.323,3.25,2.355,1.827,2.9146,0.8505,3.1765,3.239,2.252,3.044,1.922
    Exports,0.222,0.069,0.058,0.326,0,0,0,0,0,0.487,2.935,0,0,0,0.183,0.956,0.042,0,1.764,0.7705,0.963,2.8,2.123,2.2
Austria,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,16.292,18.597,18.57,22.537,21.882,23.159,21.063,19.164,19.378,20.513,23.7799,22.3211,18.238,15.1102,12.5494,15.4356,15.1902,17.6594,14.2533,15.4212,13.0067507,13.4580709,13.5336435,10.1330254
            Coal,5.727,6.893,6.613,8.443,7.905,7.167,7.37,6.6,5.527,5.759,6.3719,6.9651,5.944,5.8512,4.6304,4.8016,3.7752,3.7367,1.805,1.499,0.559,0.14,0.058,0.021
            Natural gas,7.851,8.746,9.305,11.164,10.953,13.028,10.668,9.903,11.181,12.343,14.351,12.437,9.712,6.65,5.321,7.664,8.488,10.914,9.9177,11.3152,9.954686,10.618,10.882,7.495
            Oil,1.702,1.818,1.448,1.861,1.82,1.642,1.645,1.285,1.245,1.137,1.273,1.015,0.744,0.695,0.665,0.864,1,0.8525,0.7161,0.6926,0.6962997,0.6826229,0.6906435,0.7380254
        Renewables,43.145,42.048,41.716,35.211,39.683,40.543,41.047,43.435,44.758,47.377,43.5825,39.6388,49.9031,49.0628,48.5107,46.0648,49.4706,49.5629,48.5091,54.6722,56.3797718,55.2925638,51.18903,59.35432071
            Hydroelectricity,41.418,40.05,39.825,32.883,36.394,36.31,35.48,36.732,37.969,40.487,36.466,32.511,41.862,40.138,39.001,35.255,37.954,36.462,35.73,40.4365,41.9356096,40.9356439,34.705,39.93731831
                Geothermal,0,0,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.0013,0.001,0.0006,0.0003,0.0004,0.0001,0,0.0001,0.0002,0.0002,0.0000696,0.00003,0.00003,0.0000024
                    Solar,0.003,0.005,0.009,0.015,0.018,0.021,0.022,0.024,0.03,0.049,0.0844,0.1653,0.3222,0.598,0.7468,0.8891,1.0423,1.2115,1.3865,1.6303,1.9594521,2.6776719,3.792,6.092
                Wind,0.067,0.105,0.14,0.372,0.934,1.331,1.753,2.037,2.011,1.954,1.9618,1.8385,2.3513,3.0115,3.6575,4.5926,4.9783,6.2738,5.7462,7.1618,7.1536275,6.485879,7.245,8.037
    Consumption,54.314,56.563,57.033,59.163,60.275,61.889,64.077,64.222,64.548,63.9,65.0201,65.1431,65.6719,66.1823,65.2059,66.562,67.2651,68.5802,66.8202,68.4304,66.9341125,71.3971918,68.1727497,64.6112669
    Imports,13.824,14.467,15.375,19.002,16.629,20.355,20.925,21.783,19.796,19.542,19.9087,24.9767,23.4297,24.9596,26.7117,29.3892,26.3662,29.3624,28.0761,26.0468,24.5225,26.4362,28.5951695,21.5503404
    Exports,15.192,14.252,14.676,13.389,13.548,17.732,14.58,15.767,14.934,18.762,17.4721,16.7774,20.6267,17.6891,17.437,19.3276,19.2069,22.8165,19.1293,22.9183,22.3267,18.893,19.8819483,21.6311047
Belgium,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,45.749,44.032,44.992,45.011,44.946,45.335,44.314,45.853,43.359,44.96,45.728,45.942,38.464,40.632,32.094,24.825,41.4305,40.1285,27.1263,41.3056,32.6058,47.8917,41.6165825,31.2301865
        Fossil fuels,32.804,30.208,31.5,34.224,33.197,33.728,32.579,33.803,31.75,35.688,37.203,31.174,29.371,26.233,23.813,26.341,27.0684,27.8617,28.6503,30.4484,30.4997,25.8053,26.3711678,18.6322795
            Coal,12.916,9.936,10.029,9.638,9.146,8.199,6.848,6.475,5.547,5.178,4.197,3.476,3.389,3.008,2.09,2.075,2.5504,2.3375,2.2553,2.4268,1.8116,1.9538,2.5283834,0.028
            Natural gas,15.977,15.78,17.868,21.609,20.04,21.495,21.986,24.661,24.109,29.251,30.842,25.437,23.573,20.804,19.335,22.02,22.078,23.0141,23.9807,25.529,26.7726,21.6923,21.3954871,16.940292
            Oil,0.797,1.664,0.972,1.007,1.676,1.74,1.377,0.813,0.406,0.28,0.406,0.29,0.333,0.27,0.217,0.21,0.19,0.176,0.1608,0.0709,0.1199,0.1742,0.2122973,0.1089875
        Renewables,1.807,2.057,2.075,1.956,2.404,2.763,3.828,4.523,5.478,6.749,7.792,9.63,11.71,12.782,13.345,15.5878,15.4322,16.9431,18.1891,20.4601,24.4425,23.9082,25.5655764,27.89212567
            Hydroelectricity,0.455,0.437,0.356,0.245,0.314,0.285,0.355,0.385,0.406,0.325,0.298,0.193,0.353,0.376,0.289,0.314,0.367,0.268,0.3135,0.302,0.2669,0.3933,0.2186,0.363087669
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0.001,0.001,0.002,0.006,0.042,0.166,0.56,1.169,2.131,2.624,2.8652,3.0342,3.0728,3.2841,3.8756,4.2229,5.0758,5.578,7.0118763,7.2750511
                Wind,0.016,0.037,0.057,0.088,0.142,0.227,0.366,0.491,0.637,0.996,1.286,2.285,2.714,3.598,4.5538,5.4906,5.3404,6.391,7.3158,9.5533,12.5969,11.8234,12.1131001,15.4399869
    Consumption,80.499,81.1,81.988,83.467,84.167,83.815,86.492,86.568,86.738,81.172,86.561,84.727,84.931,84.853,82.6951,83.5752,85.8774,86.7016,87.1328,86.4446,83.3693,85.8243,82.22648,74.5368835
    Imports,11.645,15.818,16.658,14.664,14.567,14.328,18.853,15.816,17.158,9.486,12.395,13.189,16.848,17.243,21.791,23.714,14.648,14.1894,21.6359,12.7343,13.7219,15.1937,16.3496,18.6263408
    Exports,7.319,6.712,9.07,8.254,6.79,8.024,8.696,9.037,6.561,11.321,11.844,10.652,6.912,7.603,4.188,2.715,8.465,8.1678,4.3084,14.5889,14.0548,23.0701,23.8772467,18.2788727
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,5.335,5.457,5.517,6.765,6.749,6.604,7.452,7.783,9.956,9.429,9.098,10.893,9.867,10.215,10.225,10.078,12.102,12.425,12.509,11.029,11.956,11.338,11.2172994,11.33370188
            Coal,5.287,5.365,5.381,6.628,6.617,6.463,7.293,7.627,9.956,9.331,8.996,10.806,9.787,10.135,10.151,9.999,12.021,12.34,12.437,10.963,11.782,11.111,10.936,11.02691537
            Natural gas,0,0,0,0,0,0,0,0,0,0.065,0.054,0.049,0.052,0.038,0.03,0.03,0.022,0.023,0.025,0.02,0.066,0.099,0.132,0.119524553
            Oil,0.048,0.092,0.136,0.137,0.132,0.141,0.159,0.156,0,0.033,0.048,0.038,0.028,0.042,0.044,0.049,0.059,0.062,0.047,0.046,0.043,0.034,0.035299398,0.048497847
        Renewables,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.344,4.174,7.167,5.885,5.505,5.61,4.015,6.651,6.464,4.983,7.292,5.566,6.409969723
            Hydroelectricity,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.343,4.173,7.164,5.876,5.495,5.585,3.987,6.519,6.172,4.663,6.796,4.747,5.542352941
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.009,0.024,0.021,0.021,0.03,0.045,0.072,0.117,0.162
                Wind,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.103,0.254,0.262,0.382,0.392,0.395616782
    Consumption,7.565,7.716,7.812,8.358,8.68,8.938,8.92,8.925,11.163,10.741,11.613,12.199,12.501,12.239,11.952,12.054,12.597,13.183,13.169,12.471,11.628,12.503,12.4532994,12.86670102
    Imports,1.505,1.262,1.019,2.082,1.653,2.251,3.015,3.743,3.412,2.887,3.076,4.171,4.481,3.167,3.162,3.872,3.084,3.346,3.092,2.825,3.266,3.259,3.828,3.6
    Exports,2.569,2.351,2.133,3.015,3.598,3.628,5.123,4.344,5.057,5.877,6.905,5.66,4.525,6.862,5.998,6.007,6.841,5.187,7.698,6.565,7.317,8.014,6.856,7.104209143
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,17.269,18.238,20.22,16.04,15.598,17.378,18.154,13.6948,14.742,14.219,14.236,15.264,14.861,13.316,15.014,14.528,14.932,14.7184,15.2912,15.7124,15.7873,15.6508,16.462,16.163
        Fossil fuels,19.78,22.244,19.742,22.013,21.423,20.96,21.744,25.367,25.857,23.407,24.98,29.774,25.467,21.973,23.672,24.591,21.769,23.2713,21.0367,19.7732,16.1594,20.5251,24.367474,13.93
            Coal,16.941,19.497,17.182,19.237,18.902,18.458,19.083,22.368,23.181,21.103,22.606,27.537,22.876,19.392,21.305,22.522,19.364,20.9141,18.6595,17.2021,13.5107,17.0859,21.785555,11.71
