,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                Wind,0.451,0.756,0.651,1.021,1.121,1.266,1.699,1.818,2.242,2.543,2.714,3.315,3.161,4.139,3.689,4.621,5.146,5.537,6.3003,7.2333,9.3101,10.483,10.8794737,11.0137236
    Consumption,48.925,50.342,52.551,54.783,56.162,57.311,58.961,61.843,63.08,62.069,59.25,56.1147,56.2306,52.2654,52.4231,53.9675,57.2474,58.1861,52.0648,53.1213,50.700816,52.0807,49.5410262,46.92948852
    Imports,1.729,3.562,4.602,4.169,4.854,5.616,6.14,6.412,7.575,7.601,8.517,7.18,5.954,5.788,9.461,11.081,9.833,8.696,8.55,11.067,9.831,7.581,7.7508205,8.1518345
    Exports,1.74,1.062,1.706,2.076,2.034,1.836,1.938,2.057,1.962,3.233,2.811,3.948,4.169,3.901,0.642,1.473,1.037,2.459,2.272,1.123,0.967,3.897,4.3026035,3.2402263
Hungary,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,13.471,13.42,13.255,10.46,11.319,13.021,12.508,13.863,13.866,14.298,14.799,14.711,14.818,14.439,14.778,14.956,15.162,15.215,14.855,15.402,15.172,15.11,14.954,15.0854782
        Fossil fuels,20.713,21.976,21.938,22.763,20.831,19.98,20.773,23.254,22.736,17.47,18.438,17.1116,15.7616,11.4919,9.8963,10.6398,11.8626,12.7994,11.9613,12.7743,12.8099,12.6936,11.830032,9.8563819
            Coal,9.59,8.839,8.983,9.17,8.178,7.023,7.002,7.373,7.086,6.34,6.234,6.1036,6.0276,5.7889,5.4613,5.3368,5.1946,4.6784,4.4233,3.8553,3.5589,2.8963,2.8579629,2.492
            Natural gas,6.602,8.861,10.738,11.883,11.719,12.379,13.16,15.232,15.176,10.422,11.598,10.738,9.401,5.541,4.24,5.108,6.479,7.869,7.282,8.7,9.091,9.653,8.846,7.264
            Oil,4.404,4.192,2.137,1.626,0.773,0.455,0.521,0.535,0.355,0.633,0.49,0.144,0.185,0.078,0.076,0.077,0.063,0.086,0.091,0.071,0.045,0.0553,0.0550691,0.0433819
        Renewables,0.296,0.311,0.264,0.367,0.96,1.94,1.623,2.027,2.469,3.01,3.1569,2.8214,2.7319,2.8586,3.237,3.338,3.442,3.652,3.953,4.89,5.719,7.1071,7.6751649,9.1507353
            Hydroelectricity,0.176,0.184,0.192,0.169,0.203,0.2,0.184,0.208,0.211,0.226,0.184,0.216,0.206,0.208,0.294,0.2267,0.2533,0.214,0.216,0.213,0.238,0.206,0.1736896,0.2175438
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0.009,0.008,0.006,0.002359,0.0069622
                    Solar,0,0,0,0,0,0,0,0,0.001,0.001,0.0009,0.0014,0.0079,0.0246,0.065,0.139,0.241,0.346,0.624,1.485,2.441,3.767,4.5948739,6.6149493
                Wind,0,0.001,0.001,0.004,0.006,0.01,0.043,0.11,0.205,0.331,0.523,0.61,0.745,0.693,0.634,0.6713,0.6647,0.737,0.589,0.709,0.636,0.6451,0.5922424,0.6262657
    Consumption,33.08,34.202,35.314,36.289,36.598,37.227,38.147,39.171,39.086,36.687,37.7879,37.503,37.5945,37.0035,37.6703,38.9248,39.6116,41.0884,41.7603,42.3583,42.2389,44.6127,43.8281691,42.7389048
    Imports,9.523,10.403,12.605,14.077,10.524,15.637,15.393,14.68,12.774,10.972,9.897,14.664,16.97,16.635,19.079,19.935,17.951,19.803,18.613,19.853,19.176,19.967,21.5885094,19.9634781
    Exports,6.083,7.232,8.349,7.138,3.056,9.41,8.186,10.694,8.871,5.459,4.702,8.021,9.003,4.758,5.689,6.249,5.24,6.925,4.265,7.269,7.499,7.213,9.4385371,8.8634278
Iceland,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.005,0.004,0.006,0.006,0.004,0.005,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.003,0.004,0.003,0.0021,0.0019,0.0027,0.0031,0.0025,0.002943,0.0041463
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,0.005,0.004,0.006,0.006,0.004,0.005,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.003,0.004,0.003,0.0021,0.0019,0.0027,0.0031,0.0025,0.002943,0.0041463
        Renewables,7.615,7.963,8.34,8.423,8.548,8.611,9.853,11.891,16.341,16.709,16.744,16.849,17.293,17.995,17.8,18.554,18.1686,19.07,19.6978,19.3587,18.8923,19.3908,19.8669042,20.123271
            Hydroelectricity,6.292,6.512,6.907,7.017,7.063,6.949,7.22,8.31,12.303,12.156,12.51,12.382,12.214,12.747,12.554,13.541,13.0916,13.8919,13.6794,13.3291,12.9196,13.5777,13.9401712,14.104043
                Geothermal,1.323,1.451,1.433,1.406,1.483,1.658,2.631,3.579,4.038,4.553,4.234,4.467,5.079,5.245,5.238,5.003,5.068,5.17,6.01,6.018,5.961,5.802,5.916,6.012
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.005,0.005,0.005,0.005,0
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.008,0.01,0.009,0.0081,0.0044,0.0066,0.0067,0.0061,0.005733,0.007228
    Consumption,7.304,7.614,7.951,7.939,8.17,8.235,9.444,11.398,15.767,16.203,16.047,16.348,16.81,17.626,17.305,17.982,17.6826,18.4811,19.1455,18.8301,18.3552,18.8280659,19.3298629,19.5844173
    Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,22.488,23.605,23.461,23.723,23.821,23.753,24.641,25.555,26.32,23.849,24.448,21.741,21.837,19.883,19.347,20.166,22.635,21.6307,20.3958,18.6214,17.5961,18.8623388,18.7355743,17.4393996
            Coal,8.587,9.255,8.903,8.231,7.716,8.839,8.022,7.599,7.896,6.633,5.734,6.075,7.462,6.564,6.453,7.392,7.014,5.8089,4.2424,2.435,1.5878,2.9203,2.1085014,2.366
            Natural gas,9.263,9.147,10.829,13.038,12.894,11.574,13.785,16.058,16.716,16.298,18.111,15.432,14.139,13.13,12.635,12.367,15.328,15.6799,16.014,15.9062,15.6149,14.5471,15.5925034,14.8453996
            Oil,4.638,5.203,3.729,2.454,3.211,3.34,2.834,1.898,1.708,0.918,0.603,0.234,0.236,0.189,0.259,0.407,0.293,0.1419,0.1394,0.2802,0.3934,1.3949388,1.0345695,0.228
        Renewables,1.177,1.021,1.373,1.132,1.388,1.867,2.468,2.795,3.586,4.109,3.7232,5.4158,5.2991,5.6862,6.4546,7.9302,7.5791,9.0353,10.4987,12.0841,13.7796,11.9312,13.3939859,14.07590217
            Hydroelectricity,0.838,0.59,0.903,0.592,0.624,0.625,0.717,0.66,0.959,0.893,0.593,0.699,0.795,0.593,0.701,0.798,0.674,0.685,0.687,0.8781,0.9327,0.7501,0.6954,0.900004369
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.001,0.0005,0.0005,0.0006,0.0007,0.0025,0.0062,0.0061,0.0118,0.022,0.0395,0.0618,0.093,0.1481859,0.411
                Wind,0.244,0.334,0.388,0.454,0.655,1.112,1.622,1.958,2.41,2.955,2.8147,4.3803,4.0105,4.5415,5.1401,6.573,6.147,7.444,8.6398,10.0195,11.5494,9.7759,11.208,11.605
    Consumption,21.598,22.312,23.189,23.792,24.549,25.429,26.563,27.311,27.942,26.398,26.4313,25.6157,25.4117,25.5542,25.7002,26.4436,27.1276,27.6153,28.3702,28.843,28.6661,29.7491448,29.7214725,32.2824119
    Imports,0.169,0.038,0.565,1.176,1.574,2.045,1.787,1.412,0.753,0.939,0.7599,0.7316,0.7836,2.6252,2.853,1.752,0.8713,1.1164,1.6215,2.1796,1.7611,2.4507,1.552,3.8904307
    Exports,0.071,0.288,0.062,0.01,0,0.001,0.009,0.082,0.303,0.175,0.2896,0.2415,0.3701,0.383,0.704,1.0786,1.583,1.7949,1.6492,1.535,1.913,0.8631,1.3418204,0.4416146
Italy,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,217.762,215.971,227.646,237.404,239.54,245.805,254.392,257.79,252.749,216.705,218.886,214.572,202.058,172.85,154.324,169.632,176.682,186.9722,170.5224,173.0929,158.7693,169.37,178.0280112,143.9860631
            Coal,26.272,31.73,35.447,38.813,45.518,43.606,44.208,44.112,43.073,39.745,39.734,44.726,49.141,45.105,43.454,43.201,35.607,32.6274,28.4699,18.8394,13.3795,14.5951,22.607,13.22
            Natural gas,101.36,104.188,99.414,117.3,129.772,149.262,158.079,172.646,172.699,147.269,152.738,144.548,129.058,108.875,93.637,110.86,126.148,140.3493,128.5376,141.687,133.683,143.998,141.445,118.981
            Oil,85.878,75.008,87.764,75.987,58.891,47.124,45.875,35.409,31.459,26.02,21.714,19.885,18.89,15.482,14.163,13.384,12.131,11.5267,11.0291,10.1531,10.0433,8.8629,12.3530112,10.0810631
        Renewables,50.957,54.634,48.724,44.619,54.864,49.558,51.902,49.083,59.446,70.536,78.06,84.2618,93.4312,112.9923,121.6366,110.0236,109.1657,105.092,115.4851,116.5199,118.394,114.2422,100.3102299,113.6989969
            Hydroelectricity,43.763,46.343,39.125,33.303,41.915,35.706,36.624,32.488,41.207,48.647,50.506,45.3648,41.4562,52.2463,57.9596,45.0816,42.0077,35.837,48.2991,45.3182,47.5518,44.739,28.264,38.42539908
                Geothermal,4.705,4.507,4.662,5.341,5.437,5.324,5.527,5.569,5.52,5.342,5.046,5.315,5.252,5.32,5.567,5.824,5.867,5.8215,5.7573,5.6888,5.6469,5.5298,5.4504088,5.3522487
                    Solar,0.018,0.019,0.021,0.024,0.029,0.031,0.035,0.038,0.193,0.676,1.874,10.668,18.637,21.229,21.837,22.588,21.757,24.0168,22.2654,23.3198,24.551,24.0888,27.0735461,30.7304944
                Wind,0.563,1.179,1.404,1.458,1.847,2.344,2.971,4.034,4.861,6.543,9.048,9.775,13.333,14.812,15.089,14.706,17.523,17.5653,17.5568,20.202,18.6082,20.687,20.461275,23.312348
    Consumption,291.428,297.23,304.273,309.216,316.441,321.433,329.032,330.192,329.772,310.355,319.373,323.1128,316.8822,306.1963,299.6076,305.8396,303.4787,310.5053,311.3222,309.3016,291.1898,306.55036,301.4762035,290.6635896
    Imports,44.831,48.926,51.519,51.486,46.426,50.264,46.596,48.931,43.433,47.07,45.987,47.519,45.407,44.338,46.747,50.849,43.181,42.8949,47.1702,43.9749,39.7899,46.5644,47.4018889,54.572075
    Exports,0.484,0.549,0.922,0.518,0.791,1.109,1.611,2.648,3.398,2.111,1.827,1.787,2.304,2.2,3.031,4.471,6.154,5.1342,3.2714,5.8337,7.5896,3.7703,4.4190583,3.3201772
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,--,--,--,--,--,--,--,--,5.086,4.856,5.011,5.696,5.847,6.382,5.285,5.979,5.736,5.7382,5.6108,6.0366,6.3477,6.4516,6.346425,5.548
            Coal,--,--,--,--,--,--,--,--,5.053,4.841,4.989,5.675,5.833,6.367,5.27,5.964,5.721,5.726,5.6005,6.0192,6.333,6.437,6.3317,5.534
            Natural gas,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,--,--,--,--,--,--,--,--,0.033,0.015,0.022,0.021,0.014,0.015,0.015,0.015,0.015,0.0122,0.0103,0.0174,0.0147,0.0146,0.014725,0.014
        Renewables,--,--,--,--,--,--,--,--,0.075,0.119,0.155,0.107,0.098,0.145,0.152,0.142,0.2461,0.181,0.3023,0.3099,0.3648,0.439,0.643,0.805
            Hydroelectricity,--,--,--,--,--,--,--,--,0.075,0.119,0.154,0.104,0.095,0.142,0.149,0.139,0.243,0.177,0.2703,0.2079,0.2628,0.297,0.266,0.393
                Geothermal,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0.0001,0.001,0.002,0.011,0.012,0.016,0.014,0.009
                Wind,--,--,--,--,--,--,--,--,0,0,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.03,0.091,0.09,0.126,0.363,0.403
    Consumption,--,--,--,--,--,--,--,--,4.62,4.505,4.693,5.28,5.17,5.306,5.11,5.253,4.3011,4.9643,4.9365,5.225,5.4499,6.5376,6.667425,6.570832807
    Imports,--,--,--,--,--,--,--,--,0.708,0.768,0.819,3.135,2.773,2.551,0.966,0.684,0.557,1.242,0.8252,0.9285,0.9656,3.336,3.687,3.449
    Exports,--,--,--,--,--,--,--,--,0.296,0.274,0.353,2.717,2.619,2.893,0.475,0.553,1.064,0.8799,0.6768,0.905,1.2832,2.649,3.139,2.442
Latvia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,1.313,1.441,1.49,1.637,1.493,1.492,2.105,1.943,2.062,2.013,2.992,3.017,2.058,2.675,2.337,2.757,2.945,2.0695,3.2263,3.2463,2.0753,2.128,1.214014,1.424
            Coal,0.078,0.042,0.038,0.022,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0,0,0,0.0002,0.0073,0.0001,0,0,0.000014,0
            Natural gas,1.128,1.304,1.313,1.533,1.433,1.486,2.1,1.925,2.058,2.007,2.988,3.014,2.055,2.67,2.337,2.756,2.944,2.0688,3.2187,3.2459,2.0752,2.128,1.211,1.422
            Oil,0.107,0.095,0.139,0.082,0.06,0.006,0.005,0.017,0.002,0.004,0.002,0.001,0.001,0.002,0,0.001,0.001,0.0005,0.0003,0.0003,0.0001,0,0.003,0.002
        Renewables,2.795,2.808,2.449,2.291,3.127,3.34,2.717,2.759,3.137,3.472,3.5367,2.9269,3.7901,2.957,2.0911,1.9868,2.6496,4.504,3.4832,3.1785,3.6289,3.6972,3.7671128,4.9361572
            Hydroelectricity,2.791,2.805,2.438,2.243,3.078,3.293,2.671,2.706,3.078,3.422,3.488,2.8568,3.677,2.838,1.953,1.841,2.5228,4.3555,2.4171,2.0959,2.584,2.6884,2.731329,3.7734564
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0,0,0.0013,0.0031,0.0048,0.0068,0.041,0.239
                Wind,0.004,0.003,0.011,0.048,0.049,0.047,0.046,0.053,0.059,0.05,0.0487,0.0701,0.1131,0.1189,0.138,0.1456,0.1268,0.1485,0.1208,0.1525,0.1751,0.14,0.1927838,0.2647008
    Consumption,4.902,5.142,5.294,5.659,5.832,6.144,6.512,6.904,6.921,6.398,6.677,6.573,6.98,6.4121,6.2801,6.1142,6.152,6.035,7.1702,7.1015,6.9488,7.2135327,6.9306575,6.8223277
    Imports,2.108,2.34,2.838,2.671,2.733,2.855,2.81,4.964,4.643,4.259,3.973,4.009,4.935,5.005,5.34,5.246,4.828,4.0729,5.1737,4.6108,4.1734,4.6674,5.3072834,4.0751783
    Exports,0.322,0.457,0.49,0.038,0.636,0.707,0.302,1.964,2.123,2.605,3.1,2.764,3.244,3.65,3.023,3.425,3.795,4.1371,4.2648,3.4927,2.5477,2.8937,2.9967614,3.2707694
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,7.998,10.794,13.435,14.71,14.347,9.544,7.945,9.075,9.14,10.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,2.271,2.604,2.656,2.845,3.052,3.418,2.794,2.825,2.593,2.836,3.833,2.877,3.119,2.425,1.911,2.254,1.207,0.7367,0.4617,0.5915,1.8213,1.3161,0.8547352,0.799
            Coal,0,0,0,0,0,0,0.001,0.012,0.001,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0
            Natural gas,1.616,1.884,2.109,2.518,2.691,3.017,2.464,2.405,2.026,2.101,3.186,2.668,2.879,2.219,1.749,1.979,0.986,0.5976,0.3303,0.5238,1.698,1.221,0.515,0.584
            Oil,0.655,0.72,0.547,0.327,0.361,0.401,0.329,0.408,0.566,0.735,0.647,0.209,0.24,0.206,0.16,0.275,0.221,0.1391,0.1314,0.0677,0.1233,0.0951,0.3397352,0.215
        Renewables,0.336,0.324,0.354,0.33,0.424,0.4552,0.431,0.577,0.598,0.68,0.905,1.105,1.1763,1.5438,1.547,1.7323,2.1895,2.6073,2.2758,2.5356,2.6813,2.5857,2.9108378,4.292168654
            Hydroelectricity,0.336,0.322,0.35,0.323,0.417,0.4462,0.393,0.417,0.398,0.42,0.535,0.475,0.419,0.516,0.395,0.346,0.45,0.597,0.427,0.3425,0.3006,0.3837,0.438,0.433949054
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0448,0.073,0.0733,0.0665,0.067,0.0838,0.0841,0.1082,0.1528,0.342,0.688
                Wind,0,0,0,0,0.001,0.002,0.014,0.106,0.131,0.158,0.223,0.473,0.537,0.6,0.636,0.806,1.13,1.3562,1.1375,1.4901,1.5435,1.3542,1.5038378,2.4928756
    Consumption,7.866,8.2,8.38,8.712,9.148,9.0792,9.491,9.781,10.1427,9.3688,9.473,9.66,9.8473,9.8388,10.015,10.1523,10.5645,10.8871,11.2378,11.3768,11.178,11.7581999,11.282473,10.9916136
    Imports,5.15,4.442,4.532,4.144,4.293,5.641,5.812,5.846,5.649,4.783,8.174,8.086,8.06,8.073,8.521,7.938,11.106,11.9262,12.8475,13.2679,12.0134,12.4789,11.22,10.9097598
    Exports,6.486,8.406,11.018,11.674,11.488,8.607,6.24,7.218,6.606,7.715,2.184,1.347,1.441,1.127,0.898,0.73,2.831,3.249,3.215,3.9243,4.1049,3.4352,2.652,3.9800282
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.215,0.666,2.624,2.62,3.153,3.107,3.248,2.896,2.403,2.843,2.917,2.342,2.389,1.421,1.451,0.838,0.258,0.2212,0.1955,0.1917,0.184,0.173,0.099,0.085
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0.215,0.666,2.624,2.619,3.152,3.106,3.247,2.895,2.402,2.842,2.916,2.341,2.388,1.421,1.451,0.838,0.258,0.2209,0.1953,0.1914,0.184,0.173,0.099,0.085
            Oil,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.0003,0.0002,0.0003,0,0,0,0
        Renewables,0.201,0.201,0.184,0.168,0.227,0.238,0.28,0.304,0.322,0.307,0.3102,0.3058,0.3648,0.4237,0.4496,0.4926,0.5218,0.674,0.7574,0.8734,1.0474,1.0609,1.1164515,1.108509199
            Hydroelectricity,0.119,0.117,0.098,0.078,0.103,0.093,0.11,0.116,0.131,0.105,0.104,0.061,0.095,0.114,0.104,0.095,0.111,0.082,0.089,0.1059,0.0916,0.1068,0.0877,0.093934399
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0.001,0.001,0.001,0.009,0.018,0.021,0.021,0.02,0.02,0.0211,0.0257,0.0383,0.0737,0.0947,0.1037,0.1003,0.1085,0.1197,0.1304,0.1613,0.1802,0.2762681,0.3013478
                Wind,0.025,0.024,0.024,0.026,0.039,0.052,0.058,0.064,0.061,0.063,0.0551,0.0641,0.0775,0.083,0.0799,0.1019,0.1015,0.2348,0.2546,0.2813,0.3511,0.3143,0.3314834,0.450227
    Consumption,5.827,6.206,5.907,6.139,6.409,6.169,6.637,6.726,6.627,6.154,6.619,6.514,6.2479,6.2066,6.2065,6.2524,6.3912,6.42,6.4854,6.427,6.1382,6.4171999,6.2151783,5.8700983
    Imports,6.457,6.39,6.377,6.481,6.506,6.392,6.824,6.847,6.83,6.022,7.2795,7.0963,6.7321,6.8515,6.9612,7.5188,7.7184,7.5667,7.553,6.8175,6.5435,6.7585,7.146084,6.3901227
    Exports,0.735,0.744,2.939,2.777,3.132,3.131,3.267,2.887,2.484,2.604,3.2161,2.6144,2.6218,1.9075,2.0674,1.9194,1.4197,1.3886,1.3917,0.9387,1.0786,1.0371,1.6392573,1.187728
Malta,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,1.917,1.943,2.052,2.236,2.216,2.24,2.261,2.296,2.312,2.168,2.113,2.169,2.268,2.216,2.17,1.203,0.721,1.4372,1.7631,1.8581,1.8987,1.9506,1.9974021,2.0255255
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244,1.745,1.828,1.841,1.907,1.939,2.009
            Oil,1.917,1.943,2.052,2.236,2.216,2.24,2.261,2.296,2.312,2.168,2.113,2.169,2.268,2.216,2.17,1.203,0.721,0.1932,0.0181,0.0301,0.0577,0.0436,0.0584021,0.0165255
        Renewables,0,0,0,0,0,0,0,0,0,0.001,0.002,0.01,0.029,0.036,0.075,0.1026,0.1365,0.1726,0.1984,0.2026,0.2436,0.2635,0.29658,0.31958
            Hydroelectricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.001,0.002,0.005,0.02,0.03,0.068,0.095,0.1279,0.1623,0.1888,0.1956,0.2371,0.2559,0.289,0.309
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.00058,0.00058
    Consumption,1.682,1.687,1.782,1.942,1.925,1.984,1.985,1.982,1.98,1.83,1.946,1.992,2.071,2.065,2.113,2.1806,2.1685,2.3269,2.4395,2.539,2.4299,2.5584,2.7479821,2.766019393
    Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.054,1.527,0.8971,0.6313,0.6568,0.4198,0.5473,0.646,0.648
    Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357,0.0105,0.0205,0.0042,0.036,0.007,0.028
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,--,--,--,--,--,--,1.202,0.86,1.289,0.768,1.413,1.452,1.367,1.441,1.421,1.512,1.298,1.3619,1.5547,1.5044,1.6154,1.4441,1.5664,1.637
            Coal,--,--,--,--,--,--,1.202,0.86,1.289,0.768,1.413,1.452,1.367,1.441,1.421,1.512,1.298,1.3619,1.5547,1.5044,1.6154,1.4441,1.5664,1.637
            Natural gas,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Renewables,--,--,--,--,--,--,1.75,1.284,1.539,2.071,2.75,1.204,1.477,2.504,1.752,1.491,1.843,1.121,2.256,1.929,1.765,2.333,1.763,2.55
            Hydroelectricity,--,--,--,--,--,--,1.75,1.284,1.539,2.071,2.75,1.204,1.477,2.504,1.752,1.491,1.843,1.024,2.113,1.634,1.448,2.01,1.435,2.221
                Geothermal,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003,0.017
                Wind,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0.097,0.143,0.295,0.315,0.32,0.325,0.312
    Consumption,--,--,--,--,--,--,3.968,4.043,3.879,3.177,3.497,3.567,3.361,2.842,2.745,2.94,2.904,3.0912,3.1117,3.1935,2.9724,3.1021,2.9934,2.718977129
    Imports,--,--,--,--,--,--,1.938,2.695,1.884,1.227,0.732,1.993,1.44,0.388,0.903,1.04,1.21,1.537,0.78,1.196,5.943,5.318,8.467,5.421
    Exports,--,--,--,--,--,--,0.072,0.108,0.108,0.172,0.73,0.431,0.228,0.733,0.642,0.517,0.906,0.4167,0.976,0.9429,5.864,5.489,8.326,6.288
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,3.73,3.777,3.719,3.819,3.631,3.772,3.273,3.994,3.934,4.018,3.752,3.915,3.741,2.737,3.873,3.857,3.7499,3.2777,3.3955,3.7003,3.8649,3.6182,3.929994,3.767086
        Fossil fuels,81.277,84.938,86.631,87.255,90.553,86.789,85.745,91.695,92.238,96.966,102.386,95.619,84.936,84.812,85.848,89.414,93.384,93.122,89.2341,91.4717,83.635,75.0321,66.8455646,55.5247806
            Coal,24.276,25.481,25.992,26.571,24.947,23.5,23.737,24.917,23.483,24.278,22.588,21.39,24.212,24.614,29.485,39.391,36.729,31.2795,27.4698,19.4154,9.747,16.6636,16.6104218,8.84
            Natural gas,51.522,53.771,55.28,55.02,59.987,57.599,57.142,61.01,63.359,68.872,75.333,69.475,56.564,56.07,51.522,45.852,52.65,57.9076,57.6528,68.3307,70.1131,54.3713,46.0817378,43.8187659
            Oil,2.641,2.646,2.363,2.493,2.431,2.262,2.095,2.219,2.065,1.487,1.253,1.406,1.059,1.203,1.906,1.314,1.27,1.1791,1.2917,1.3648,1.2944,1.2795,1.555405,1.4830147
        Renewables,4.18,4.506,5.208,5.329,6.634,8.873,9.468,9.091,10.995,12.346,12.76,14.0527,14.2368,13.8044,13.2747,15.2921,16.4864,19.123,20.9097,24.6418,34.6078,42.1706,50.0644833,59.4445415
            Hydroelectricity,0.141,0.116,0.109,0.071,0.094,0.087,0.105,0.106,0.101,0.097,0.105,0.057,0.1044,0.1143,0.1122,0.0927,0.1001,0.0608,0.0723,0.0742,0.0461,0.0881,0.0528777,0.0680282
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.008,0.013,0.017,0.031,0.033,0.034,0.035,0.035,0.038,0.046,0.0559,0.1045,0.1906,0.41,0.7252,1.1085,1.6018,2.2043,3.7078,5.3994,8.5683,11.4955,17.6499015,20.4811755
                Wind,0.829,0.825,0.947,1.32,1.871,2.067,2.734,3.438,4.26,4.581,3.9931,5.1002,4.9818,5.6271,5.7973,7.5499,8.1705,10.5688,10.5485,11.5079,15.2777,18.0049,21.2517041,29.2141447
